POP,HFI,AGRI,NITRO,PHOSF,POTAS,GDP_1990,GDP_1991,GDP_1992,GDP_1993,GDP_1994,GDP_1995,GDP_1996,GDP_1997,GDP_1998,GDP_1999,GDP_2000,GDP_2001,GDP_2002,GDP_2003,GDP_2004,GDP_2005,GDP_2006,GDP_2007,GDP_2008,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,HDI_1990,HDI_1991,HDI_1992,HDI_1993,HDI_1994,HDI_1995,HDI_1996,HDI_1997,HDI_1998,HDI_1999,HDI_2000,HDI_2001,HDI_2002,HDI_2003,HDI_2004,HDI_2005,HDI_2006,HDI_2007,HDI_2008,HDI_2009,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015
72.79,20.81,0.42,36938.94,12963.74,5438.64,1548.31,1534.23,1539.32,1586.88,1672.29,1775.82,1876.49,1904.84,1948.89,2026.52,1979.27,2035.24,2081.63,2181.01,2487.57,2505.95,2504.23,2556.71,2558.96,2637.87,2728.35,2873.97,3003.08,3168.59,3361.24,3566.05,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62
72.91,20.82,0.42,36990.33,12982.11,5446.38,1548.33,1534.23,1539.32,1586.87,1672.27,1775.79,1876.45,1904.81,1948.87,2026.50,1979.28,2035.24,2081.65,2181.01,2487.54,2505.92,2504.20,2556.67,2558.93,2637.85,2728.33,2873.95,3003.06,3168.56,3361.21,3566.02,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62
114.67,22.70,0.44,55248.61,19482.55,8324.33,1570.82,1538.54,1542.98,1574.71,1645.49,1737.68,1832.21,1862.23,1916.13,2010.14,1991.02,2031.89,2104.42,2188.88,2447.80,2455.93,2455.22,2500.82,2519.67,2604.61,2700.86,2844.18,2970.14,3132.09,3321.27,3525.34,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62
219.92,20.30,0.38,74150.51,26022.89,9516.73,1289.33,1227.96,1182.39,1198.32,1285.99,1429.08,1608.73,1760.34,1967.39,2255.15,2472.89,2753.39,2752.20,2902.20,3045.37,3185.28,3254.12,3238.13,3225.99,3449.82,3639.20,3829.40,3992.75,4204.34,4453.86,4733.39,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62
38.78,19.80,0.39,22209.78,7726.63,3142.68,1525.37,1528.94,1534.80,1597.85,1697.04,1810.91,1916.86,1943.27,1977.53,2040.01,1967.54,2038.78,2060.85,2174.82,2526.44,2556.31,2554.80,2614.93,2602.06,2675.44,2760.64,2908.95,3041.69,3211.31,3407.99,3613.72,0.42,0.43,0.43,0.44,0.45,0.46,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.59,0.60,0.61,0.62
116.61,21.36,0.30,22212.21,6570.54,4522.75,1728.19,1698.41,1694.71,1695.02,1741.81,1825.73,1935.35,2006.48,2144.74,2374.86,2539.42,2755.14,2731.20,2849.57,2922.11,3100.09,3348.38,3442.74,3659.38,3752.07,3963.87,4171.04,4348.92,4579.41,4851.25,5155.78,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
73.32,15.00,0.69,63519.53,20961.81,9974.47,1728.03,1698.11,1694.12,1693.84,1739.54,1822.37,1931.26,2002.19,2140.22,2369.78,2534.09,2749.30,2725.84,2844.09,2916.76,3094.49,3342.11,3436.56,3652.67,3745.33,3956.62,4163.41,4341.06,4571.08,4842.28,5146.12,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
47.30,19.90,0.40,25871.96,9042.16,3691.55,1530.68,1530.86,1536.45,1596.41,1693.27,1805.68,1911.16,1938.21,1974.54,2039.34,1970.07,2037.87,2063.79,2174.85,2518.71,2545.13,2542.62,2600.48,2589.72,2663.92,2749.88,2897.31,3028.87,3197.17,3392.53,3597.93,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.58,0.59,0.59,0.60,0.61,0.62
187.36,19.87,0.42,123549.48,41969.20,17249.10,1357.77,1290.12,1237.22,1240.45,1310.04,1436.22,1605.61,1752.56,1957.61,2243.19,2458.32,2733.31,2733.16,2879.54,3019.93,3155.52,3223.70,3209.31,3198.91,3419.59,3606.81,3795.32,3957.42,4167.01,4414.05,4690.84,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62
89.36,18.18,0.27,86165.48,26757.36,16448.12,1724.02,1693.97,1689.48,1687.97,1730.79,1810.64,1917.14,1987.24,2123.80,2350.13,2512.25,2724.00,2701.06,2817.24,2888.78,3063.74,3308.14,3402.49,3616.01,3708.17,3916.95,4121.66,4297.90,4525.41,4793.43,5093.78,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
164.19,20.02,0.41,122414.38,41509.25,17093.57,1362.07,1294.03,1240.68,1243.10,1311.53,1436.62,1605.35,1751.99,1956.88,2242.29,2457.22,2731.82,2731.74,2877.87,3018.07,3153.37,3221.51,3207.24,3196.96,3417.42,3604.49,3792.87,3954.88,4164.34,4411.19,4687.79,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.55,0.56,0.57,0.58,0.59,0.60,0.61,0.61,0.62
47.31,19.90,0.40,25881.30,9045.46,3692.96,1530.69,1530.86,1536.45,1596.41,1693.27,1805.67,1911.15,1938.20,1974.54,2039.34,1970.08,2037.87,2063.79,2174.85,2518.70,2545.11,2542.61,2600.46,2589.71,2663.91,2749.88,2897.30,3028.87,3197.16,3392.53,3597.92,0.42,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.48,0.48,0.49,0.49,0.50,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.58,0.59,0.59,0.60,0.61,0.62
89.36,18.18,0.27,86165.48,26757.36,16448.12,1724.02,1693.97,1689.48,1687.97,1730.79,1810.64,1917.14,1987.24,2123.80,2350.13,2512.25,2724.00,2701.06,2817.24,2888.78,3063.74,3308.14,3402.49,3616.01,3708.17,3916.95,4121.66,4297.90,4525.41,4793.43,5093.78,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
65.26,15.02,0.65,92354.33,30568.19,14536.10,1728.19,1698.41,1694.71,1695.02,1741.81,1825.73,1935.35,2006.48,2144.74,2374.86,2539.42,2755.14,2731.20,2849.57,2922.11,3100.09,3348.38,3442.74,3659.38,3752.07,3963.87,4171.04,4348.92,4579.41,4851.25,5155.78,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
118.54,20.87,0.38,12003.99,3618.81,2447.41,1728.19,1698.41,1694.71,1695.02,1741.81,1825.73,1935.35,2006.48,2144.74,2374.86,2539.42,2755.14,2731.20,2849.57,2922.11,3100.09,3348.38,3442.74,3659.38,3752.07,3963.87,4171.04,4348.92,4579.41,4851.25,5155.78,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
136.03,24.42,0.33,47689.76,16721.54,7513.02,1627.05,1549.31,1552.13,1544.31,1578.56,1642.44,1721.62,1755.81,1834.30,1969.23,2020.36,2023.50,2161.34,2208.54,2348.48,2330.98,2332.79,2361.24,2421.56,2521.53,2632.18,2769.75,2887.86,3040.92,3221.44,3423.66,0.43,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.50,0.50,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.60,0.61,0.62,0.62
192.88,34.58,0.77,170664.19,60554.79,33609.65,1168.40,1266.19,1245.43,1266.08,1329.51,1417.54,1510.78,1549.90,1608.56,1690.50,1665.77,1724.29,1748.22,1998.05,2222.20,2331.89,2566.13,2992.49,2970.82,3112.96,3453.44,3633.93,3788.90,3989.71,4226.55,4491.86,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.39,0.39,0.39,0.40,0.41,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.47,0.47,0.48,0.49,0.49
123.46,22.25,0.76,109408.00,39534.50,23658.07,1177.38,1286.62,1266.22,1287.58,1354.11,1446.59,1544.49,1586.48,1647.37,1730.51,1702.17,1765.89,1787.90,2057.60,2286.82,2407.90,2652.21,3101.27,3072.79,3220.49,3574.46,3761.28,3921.68,4129.53,4374.66,4649.27,0.34,0.34,0.35,0.35,0.36,0.36,0.37,0.37,0.38,0.38,0.39,0.39,0.40,0.41,0.41,0.42,0.43,0.44,0.44,0.45,0.46,0.46,0.47,0.48,0.48,0.49
