BLD_D2.5cm,BLD_D10cm,BLD_D22.5cm,BLD_D45cm,BLD_D80cm,BLD_D150cm,CLYPPT_D2.5cm,CLYPPT_D10cm,CLYPPT_D22.5cm,CLYPPT_D45cm,CLYPPT_D80cm,CLYPPT_D150cm,CRFVOL_D2.5cm,CRFVOL_D10cm,CRFVOL_D22.5cm,CRFVOL_D45cm,CRFVOL_D80cm,CRFVOL_D150cm,ORCDRC_D2.5cm,ORCDRC_D10cm,ORCDRC_D22.5cm,ORCDRC_D45cm,ORCDRC_D80cm,ORCDRC_D150cm,SLTPPT_D2.5cm,SLTPPT_D10cm,SLTPPT_D22.5cm,SLTPPT_D45cm,SLTPPT_D80cm,SLTPPT_D150cm,SNDPPT_D2.5cm,SNDPPT_D10cm,SNDPPT_D22.5cm,SNDPPT_D45cm,SNDPPT_D80cm,SNDPPT_D150cm
1194.26,1212.97,1243.55,1294.29,1354.83,1409.12,24.42,26.28,28.77,31.10,31.09,29.48,16.60,16.84,17.68,20.13,22.72,24.58,39.39,33.36,25.43,16.29,9.49,5.39,36.26,35.41,34.24,32.99,32.41,32.16,39.36,38.35,37.01,35.91,36.52,38.38
1194.29,1212.99,1243.57,1294.31,1354.85,1409.14,24.42,26.28,28.77,31.10,31.09,29.48,16.60,16.84,17.67,20.13,22.71,24.58,39.39,33.36,25.43,16.29,9.49,5.39,36.26,35.41,34.24,32.99,32.41,32.16,39.36,38.35,37.01,35.91,36.52,38.38
1227.67,1246.38,1276.95,1327.69,1388.23,1442.52,25.13,27.01,29.51,31.84,31.83,30.23,15.37,15.57,16.31,18.58,20.97,22.71,38.01,32.19,24.54,15.72,9.15,5.19,36.79,35.94,34.77,33.53,32.96,32.72,38.12,37.09,35.73,34.62,35.23,37.08
1431.96,1450.65,1481.25,1531.99,1592.53,1646.80,25.75,27.70,30.31,32.72,32.68,31.04,7.16,7.03,7.16,8.14,9.26,10.17,24.34,20.62,15.72,10.07,5.88,3.29,35.76,34.91,33.75,32.46,31.85,31.57,38.50,37.44,35.96,34.80,35.43,37.36
1165.54,1184.25,1214.82,1265.56,1326.10,1380.40,23.90,25.75,28.23,30.56,30.54,28.93,17.96,18.27,19.22,21.90,24.69,26.69,40.76,34.52,26.32,16.85,9.82,5.57,35.72,34.87,33.69,32.44,31.86,31.61,40.42,39.43,38.11,37.02,37.63,39.48
1315.56,1334.24,1364.82,1415.57,1476.11,1530.40,27.73,29.59,32.03,34.32,34.28,32.75,26.98,26.69,27.34,30.98,35.14,38.38,43.09,36.47,27.84,17.82,10.39,5.88,45.09,44.29,43.20,42.00,41.53,41.39,27.17,26.12,24.77,23.66,24.17,25.83
1342.39,1361.07,1391.67,1442.42,1502.93,1557.22,32.21,34.17,36.71,39.05,39.12,37.55,11.00,10.74,10.89,12.32,14.06,15.43,23.14,19.59,14.95,9.57,5.57,3.15,37.29,36.48,35.39,34.17,33.58,33.28,30.55,29.42,27.91,26.77,27.33,29.19
1178.88,1197.58,1228.16,1278.90,1339.44,1393.73,24.17,26.02,28.50,30.83,30.81,29.20,17.51,17.80,18.71,21.32,24.04,26.00,40.23,34.07,25.98,16.64,9.69,5.50,35.88,35.03,33.86,32.61,32.03,31.78,39.99,38.99,37.67,36.57,37.19,39.04
1393.46,1412.18,1442.74,1493.48,1554.03,1608.32,26.61,28.56,31.14,33.54,33.52,31.85,9.23,9.15,9.39,10.65,12.11,13.25,30.44,25.80,19.67,12.60,7.34,4.15,37.57,36.72,35.57,34.36,33.74,33.50,35.85,34.74,33.32,32.13,32.73,34.63
1346.59,1365.31,1395.89,1446.61,1507.15,1561.46,29.34,31.27,33.76,36.09,36.06,34.53,13.66,13.06,12.94,14.55,16.74,18.62,32.15,27.22,20.77,13.30,7.77,4.40,44.09,43.28,42.18,41.03,40.51,40.31,26.51,25.43,24.02,22.91,23.41,25.15
